threshold,tp,fn,fp,tn,precision,recall,f1,accuracy,negative_rejection_rate,weighted_error_cost
0.18131251470947266,10,0,10,0,0.5,1.0,0.6666666666666666,0.5,0.0,20.0
0.18131351470947266,10,0,10,0,0.5,1.0,0.6666666666666666,0.5,0.0,20.0
0.20922699570655823,10,0,9,1,0.5263157894736842,1.0,0.6896551724137931,0.55,0.1,18.0
0.2371404767036438,10,0,9,1,0.5263157894736842,1.0,0.6896551724137931,0.55,0.1,18.0
0.24799033999443054,10,0,8,2,0.5555555555555556,1.0,0.7142857142857143,0.6,0.2,16.0
0.2588402032852173,10,0,8,2,0.5555555555555556,1.0,0.7142857142857143,0.6,0.2,16.0
0.27043288946151733,10,0,7,3,0.5882352941176471,1.0,0.7407407407407407,0.65,0.3,14.0
0.2820255756378174,10,0,7,3,0.5882352941176471,1.0,0.7407407407407407,0.65,0.3,14.0
0.2842594385147095,10,0,6,4,0.625,1.0,0.7692307692307693,0.7,0.4,12.0
0.28649330139160156,10,0,6,4,0.625,1.0,0.7692307692307693,0.7,0.4,12.0
0.28828978538513184,10,0,5,5,0.6666666666666666,1.0,0.8,0.75,0.5,10.0
0.2900862693786621,10,0,5,5,0.6666666666666666,1.0,0.8,0.75,0.5,10.0
0.29127246141433716,10,0,4,6,0.7142857142857143,1.0,0.8333333333333333,0.8,0.6,8.0
0.2924586534500122,10,0,4,6,0.7142857142857143,1.0,0.8333333333333333,0.8,0.6,8.0
0.2980566620826721,10,0,3,7,0.7692307692307693,1.0,0.8695652173913044,0.85,0.7,6.0
0.30365467071533203,10,0,3,7,0.7692307692307693,1.0,0.8695652173913044,0.85,0.7,6.0
0.3406584858894348,10,0,2,8,0.8333333333333334,1.0,0.9090909090909091,0.9,0.8,4.0
0.3776623010635376,10,0,2,8,0.8333333333333334,1.0,0.9090909090909091,0.9,0.8,4.0
0.4043229818344116,10,0,1,9,0.9090909090909091,1.0,0.9523809523809523,0.95,0.9,2.0
0.43098366260528564,10,0,1,9,0.9090909090909091,1.0,0.9523809523809523,0.95,0.9,2.0
0.44513314962387085,10,0,0,10,1.0,1.0,1.0,1.0,1.0,0.0
0.45928263664245605,10,0,0,10,1.0,1.0,1.0,1.0,1.0,0.0
0.47730737924575806,9,1,0,10,1.0,0.9,0.9473684210526316,0.95,1.0,1.0
0.49533212184906006,9,1,0,10,1.0,0.9,0.9473684210526316,0.95,1.0,1.0
0.5563876032829285,8,2,0,10,1.0,0.8,0.888888888888889,0.9,1.0,2.0
0.6174430847167969,8,2,0,10,1.0,0.8,0.888888888888889,0.9,1.0,2.0
0.6605679988861084,7,3,0,10,1.0,0.7,0.8235294117647058,0.85,1.0,3.0
0.7036929130554199,7,3,0,10,1.0,0.7,0.8235294117647058,0.85,1.0,3.0
0.7065548598766327,6,4,0,10,1.0,0.6,0.7499999999999999,0.8,1.0,4.0
0.7094168066978455,6,4,0,10,1.0,0.6,0.7499999999999999,0.8,1.0,4.0
0.7268791198730469,5,5,0,10,1.0,0.5,0.6666666666666666,0.75,1.0,5.0
0.7443414330482483,5,5,0,10,1.0,0.5,0.6666666666666666,0.75,1.0,5.0
0.7519779801368713,4,6,0,10,1.0,0.4,0.5714285714285715,0.7,1.0,6.0
0.7596145272254944,4,6,0,10,1.0,0.4,0.5714285714285715,0.7,1.0,6.0
0.7683693170547485,3,7,0,10,1.0,0.3,0.4615384615384615,0.65,1.0,7.0
0.7771241068840027,3,7,0,10,1.0,0.3,0.4615384615384615,0.65,1.0,7.0
0.7781609892845154,2,8,0,10,1.0,0.2,0.33333333333333337,0.6,1.0,8.0
0.7791978716850281,2,8,0,10,1.0,0.2,0.33333333333333337,0.6,1.0,8.0
0.7855493724346161,1,9,0,10,1.0,0.1,0.18181818181818182,0.55,1.0,9.0
0.7919008731842041,1,9,0,10,1.0,0.1,0.18181818181818182,0.55,1.0,9.0
0.7919018731842041,0,10,0,10,0.0,0.0,0.0,0.5,1.0,10.0
